"stone","zone","tomb","form","material","ulx","uly","lrx","lry","condition"
"S307","Zona Vecchia",626,"PLB","stone",1019.63364,463.80547,1023.97979,468.05032200000005,"very poor"
"S308","Zona Vecchia",1695,"HEAD","stone",1031.59976,459.95890099999997,1041.361404,481.239955,"good"
"S309","Zona Vecchia",1075,"LEDG","stone",1044.881795,462.34463700000003,1055.765378,476.942868,"excellent"
"S310","Zona Vecchia",,"CHEST","stone",1062.615594,463.45836399999996,1080.036627,469.39770799999997,"good"
"S311","Zona Vecchia",,"CROSS","stone",1086.151549,461.954651,1096.302155,472.20433,"good"
"S312","Zona Vecchia",,"LEDG","stone",1098.255587,462.251178,1107.576152,480.416472,"bad"
"S313","Zona Vecchia",887,"COL","stone",1112.301469,464.308043,1120.209937,470.018502,"reasonable"
"S314","Zona Vecchia",1698,"HEAD","stone",1124.37856,464.250955,1133.255366,466.87957800000004,"good"
"S315","Zona Vecchia",1699,"PED","stone",1135.413099,464.875774,1151.918085,488.044072,"excellent"
"S316","Zona Vecchia",,"LEDG","stone",1161.826554,466.20183,1172.684643,488.88938299999995,"good"
"S317","Zona Vecchia",518,"HEAD","stone",1174.522459,473.05836,1181.657458,476.335157,"excellent"
"S318","Zona Vecchia",,"HEAD","stone",1184.466085,469.49795500000005,1190.925905,473.79352100000006,"reasonable"
"S319","Zona Vecchia",888,"PLB","stone",1199.194106,471.234922,1205.331331,476.557823,"good"
"S320","Zona Vecchia",1702,"HEAD","stone",1230.355371,469.563762,1240.631404,471.88105399999995,"good"
"S321","Zona Vecchia",,"HEAD","stone",1246.913869,469.96225200000003,1256.485478,472.26241000000005,"reasonable"
"S322","Zona Vecchia",1704,"HEAD","stone",1265.886674,470.77344800000003,1274.795785,486.85871399999996,"reasonable"
"S323","Zona Vecchia",1705,"HEAD","stone",1279.626923,471.103917,1287.126616,487.155258,"good"
"S324","Zona Vecchia",,"BOOK","stone",1291.255802,471.02986599999997,1297.001386,474.96340499999997,"good"
"S325","Zona Vecchia",,"LEDG","stone",1288.037478,500.325736,1296.515321,513.640479,"excellent"
"S326","Zona Vecchia",,"HEAD","stone",1275.314834,497.949163,1285.300576,514.750261,"good"
"S327","Zona Vecchia",1687,"HEAD","stone",1258.82787,497.19704,1268.047086,499.48899300000005,"good"
"S328","Zona Vecchia",1472,"HEAD","stone",1240.830329,495.12710000000004,1251.56601,513.201758,"excellent"
"S329","Zona Vecchia",,"HEAD","stone",1225.015883,495.347748,1233.550298,498.313214,"good"
"S330","Zona Vecchia",841,"HEAD","stone",1211.628044,494.68062599999996,1218.058429,497.940461,"good"
"S331","Zona Vecchia",709,"PLB","stone",1196.086944,495.688635,1203.574146,498.97380899999996,"excellent"
"S332","Zona Vecchia",1685,"CHEST","stone",1182.676613,493.64892199999997,1191.997178,511.814026,"good"
"S333","Zona Vecchia",1684,"HEAD","stone",1172.371122,497.16589999999997,1180.36455,501.19017299999996,"good"
"S334","Zona Vecchia",,"CROSS","stone",1161.050198,497.26641600000005,1167.921662,503.642011,"reasonable"
"S335","Zona Vecchia",1569,"PLB","stone",1153.407962,496.04429100000004,1159.143527,499.632419,"excellent"
"S336","Zona Vecchia",1682,"HEAD","stone",1142.838561,495.790066,1151.040397,499.437458,"good"
"S337","Zona Vecchia",,"LEDG","stone",1128.674385,495.459425,1139.7664,514.012259,"good"
"S338","Zona Vecchia",,"HEAD","stone",1115.99116,494.80905800000005,1125.68376,513.673223,"reasonable"
"S339","Zona Vecchia",,"COL","stone",1096.350482,494.33453199999997,1111.591307,510.22701200000006,"reasonable"
"S340","Zona Vecchia",1046,"PLB","stone",1084.041971,490.23175200000003,1092.675056,496.64964899999995,"reasonable"
"S341","Zona Vecchia",1184,"LEDG","stone",1067.530043,492.25852899999995,1074.638078,506.92031699999995,"reasonable"
"S342","Zona Vecchia",1509,"LEDG","stone",1048.916747,492.154771,1056.660368,504.41663100000005,"good"
